Program,Organization,Services Offered,Who They Serve,Next Steps / Contact & Location
45. Food Pantry,Melinda Hoag Smith Center for Healthy Living,"- Quality food items
- Helps families with insecurity","- Anyone in need
- All ages
- Parents, caregivers","Phone: 949-764-8100 ext 53694
Location: 307 Placentia Ave, Newport Beach, CA 92663
Hours: Closed Today"
46. Mental Health Center,Melinda Hoag Smith Center for Healthy Living,"- Offers mental health services
- Also has a food pantry component","- All ages
- Low-income
- Uninsured/underinsured","Phone: 949-764-6551
Location: 307 Placentia Ave, Newport Beach, CA 92663
Hours: Closed Now"
47. Outreach Services,Mercy House,"- Immediate relief (food, showers, laundry, outreach)
- ID recovery, navigating the system","- All ages
- Homeless
- Near homeless","Referral: Dial 2-1-1
Website: Mercy House
Hours vary"
48. Transitional Housing,ICNA Relief - California,"- Food pantry for individuals/families in need
- Transitional housing","- Anyone in need
- All ages","Website: ICNA Relief CA
Location: 8752 13th St, Garden Grove, CA 92844
Closed Today"
49. Mobile Food Pantry,Cool Water Ministries,"- Distributes fresh fruits, vegetables, other goods
- Low-income families, seniors, unemployed","- Anyone in need
- All ages
- Homeless
- Low-income","Email: coolwaterministries@gmail.com
Location: 136 S Shaffer St, Orange, CA 92866
Hours: Closed Today"
50. Client Choice Food Pantry,The Men With Vision Foundation,"- Collects, stores, and distributes food free-of-charge
- Low-income individuals & families","- Anyone in need
- All ages
- Low-income","Location: 13552 Goldenwest St, Westminster, CA 92683
Hours: Closed Now; see hours"
51. Hope Food Pantry,Hope Lutheran Church,"- Food pantry for low-income, single parents, seniors, unemployed, veterans, etc.","- Anyone in need
- All ages
- Families","Email: info@hopelutheranchurch.us
Location: 13841 Milton Ave, Westminster, CA 92683
Hours: Closed Today"
52. Healthy Food Choices,FAM (Family Assistance Ministries),"- Client choice food (fresh, frozen, canned)
- Government food benefits","- Anyone in need
- All ages
- Families","Phone: 949-492-8477
Location: 1030 Calle Negocio, San Clemente, CA 92673
Hours: Closed Now"
53. Food Pantry Services,Help Me Help You,"- Quality nutritious food for homeless & low-income
- Support w/ navigating systems","- Anyone in need
- All ages
- Low-income","Location: 668 Obispo Ave, Long Beach, CA 90814
Hours: Closed Today; see hours"
54. Food Pantry,Del Rey Church (DRC),"- Non-perishable food items, especially for homeless","- Anyone in need
- All ages","Location: 8505 Saran Dr, Los Angeles, CA 90293
Hours: Closed Now; see hours"
55. SoCal Reentry Program,Tayba Foundation,"- Food pantry, addiction & recovery, mental health care
- Case management, ID recovery","- Adults w/ criminal justice history
- Families
- Substance dependency","Phone: 909-543-6173
Location: 1887 Business Center Dr S, San Bernardino, CA 92408
Hours: Closed Now"
56. Drive Thru Food Distribution & Diaper Bank,Southwest Community Center,"- Diapers & food items via a drive-thru model
- Basic nutritional needs","- All ages
- Families w/ children
- Homeless
- Low-income","Phone: 714-547-4073
Location: 1601 W 2nd St, Santa Ana, CA 92707
Hours: Closed Today"
57. Food Programs,Friendly Center Inc.,"- Food distribution 1st & 3rd Wednesday monthly
- Basic nutritional needs","- Anyone in need
- All ages
- Limited English","Phone: 714-771-5300
Location: 147 W Rose Ave, Orange, CA 92867
Hours: Closed Now"
58. Food Pantry,Laguna Food Pantry,"- Free, fresh, nutritious groceries (5 days/week)","- Anyone in need
- All ages
- Low-income","Location: 20652 Laguna Canyon Rd, Laguna Beach, CA 92651
Hours: Closed Now"
59. Food Distribution,Mercy Warehouse,"- Food boxes for families in need
- Aims to feed for ~1 week","- Anyone in need
- All ages
- Families","Location: 27632 El Lazo, Laguna Niguel, CA 92677
Hours: Closed Today"
60. Food Pantry,Share Ourselves,"- Quality food items to families in need
- “Critical nutrition” supplies","- All ages
- Individuals & families","Phone: 949-270-2100
Location: 1550 Superior Ave, Costa Mesa, CA 92627
Hours: Closed Now"
61. Food Pantry,Boys & Girls Club of Greater Anaheim-Cypress,- Quality food items for families experiencing insecurity,"- Anyone in need
- All ages
- Families","Phone: 714-527-2697
Location: 1116 Swan St, Anaheim, CA 92801
Hours: Closed Today"
62. Second Harvest Mobile Food Pantry,First United Methodist Church Of Huntington Beach,"- Fresh produce, nutritious foods for struggling families & individuals","- Anyone in need
- All ages","Phone: 714-536-3537
Location: 2721 Delaware St, Huntington Beach, CA 92648
Hours: Closed Today"
63. Food Pantry,The Salvation Army - SoCal & Orange County,"- Alleviates hunger via food assistance
- Low-income, unemployed, seniors, veterans, etc.","- Anyone in need
- All ages
- Low-income","Phone: 714-783-2333
Location: 1515 W North St, Anaheim, CA 92801
Hours: Closed Today"
64. Monthly Food Bank,SSS Good Samaritan,"- Primarily canned food
- Sometimes toys, clothes, household items","- Anyone in need
- All ages","Location: 5035 Hedda St, Lakewood, CA 90805
Hours: Closed Today"
65. Food & Clothing Giveaways,Stay Free Ministries Outreach,- Food & clothing giveaways in partnership with local ministries,"- Anyone in need
- All ages
- Individuals & families","Phone: 310-966-0162
Location: 545 S San Pedro St, Los Angeles, CA 90013
Hours: Closed Today"
66. Food Pantry,Tayba Foundation,"- Quality food for households w/ insecurity
- Formally incarcerated reentry support (SoCal Reentry Program)","- Adults 18+
- Criminal justice history","Phone: 909-543-6173
Location: 1887 Business Center Dr S, San Bernardino, CA 92408
Hours: Closed Now"
67. Food Distribution,Costa Mesa Family Resource Center,"- Monthly food distribution event
- Critical nutrition to local families","- Anyone in need
- All ages
- Families","Phone: 949-764-8100 ext. 53694
Location: 307 Placentia Ave, Newport Beach, CA 92663
Hours: Closed Today"
68. Food & Meal Assistance,Junior Foundation Charities,"- Must have a child diagnosed with cancer
- Food or meal assistance for families","- Families w/ children
- Cancer diagnosis
- On or post-treatment","Email: info@juniorfoundation.org
Serves local area; Not available: full"
69. Food Pantry,Islamic Society of Orange County,"- For families/individuals fallen on hard times or unemployed
- Basic nutritional needs","- All ages
- Individuals & families","Phone: 714-386-0381
Location: 9752 13th St, Garden Grove, CA 92844
Hours: Closed Today"
70. Senior Grocery Program,City of Yorba Linda Parks and Recreation Dept.,"- Grocery program for seniors in need
- Basic nutritional needs","- Seniors
- Families
- Low-income","Phone: 714-961-7181
Location: 4501 Casa Loma Ave, Yorba Linda, CA 92886
Hours: Closed Now"
71. Immediate Essential Services,Build Futures,"- For homeless youth 18-24
- Immediate support: food, short shelter, transportation, personal hygiene","- Young adults
- Homeless","Website/Phone: (not fully provided)
Serves local area; hours vary"
72. HUB of Hope food distribution & resource center,Pathways of Hope inc,"- Client-choice food pantry
- Hygiene items
- Life skills","- Homeless
- Low-income
- All ages","Phone: 714-680-3691
Hours: Closed Now
(Location details not repeated)"
73. Mobile Food Trolley,Community Action Partnership of Orange County (CAPOC),"- “Clementine,” a mobile food pantry
- Brings food to low-income families","- All ages
- Families w/ children
- Low-income","Phone: 714-897-6670 ext. 3491
Location: 11870 Monarch St, Garden Grove, CA 92841
Hours: Closed Now"
74. Senior Grocery Program,City of Cypress,"- Free food for low-income seniors
- Ensures healthy access","- Seniors
- Low-income
- Individuals","Phone: 714-229-2005
Location: 9031 Grindlay St, Cypress, CA 90630
Hours: Closed Today"
75. Hope for Our Community - Feeding the homeless,(Repeated Cornerstone Church listing),[Already listed as #17],[Already listed above],[Already listed above]
76. Home Delivered Meals,(Repeated Irvine Meals on Wheels),[Already listed as #18],[Already listed above],[Already listed above]
Christian Service Outreach Program (CSO),St. Lawrence Martyr Church,"- Sack lunches, hot meals, sacks of groceries
- Used clothing, blankets
- Easter baskets, Christmas gifts to people in need","- All ages
- Individuals & families
- Homeless","Phone: 310-540-0329 ext. 276
Location: 1940 S. Prospect Avenue, Redondo Beach, CA 90277
Hours: Closed Now; see hours"
Dr. Riba’s Health Club (inferred from text),(Likely Dr. Riba’s Health Club / DRRIBAHC),"- Possible nutrition & wellness services
- Pediatric/Family health coaching
(Details not fully specified in text, only partial contact info)","- Local area families
- Children, parents
- Possibly low-income","Phone: 714-549-6440
Email**: casemanager@drribahc.org
Location: 211 E. Columbine Ave, Santa Ana, CA 92707
Hours: Closed Now; see hours"
Health Education,Share Ourselves,"- Various health classes & info
- Nutrition, tobacco cessation, stress mgmt
- Parenting classes, more","- Anyone in need
- All ages
- Individuals & families","Phone: 949-270-2100
Location: 1550 Superior Ave, Costa Mesa, CA 92627
Hours: Closed Now; see hours"
"Women, Infants, and Children (WIC)",Planned Parenthood of Orange & SB Counties,"- Promotes healthy food habits for pregnant, postpartum, & breastfeeding women
- Infants & children up to age 5
- Nutrition education, postnatal care, etc.","- All ages (focus on pregnant & postpartum women, infants, children)
- Low-income
- Single parents, caregivers, mothers","Phone: 714-973-2411
Email**: wic@pposbc.org
Location: 1134 17th St, Santa Ana, CA 92701
Hours: Closed Now; see hours"
Endocrinology,Hoag Medical Group,"- Comprehensive care for diabetes, osteoporosis, & thyroid/pituitary/adrenal disorders
- Nutrition counseling","- All ages
- Chronic illness (diabetes, thyroid disease, etc.)
- Benefit recipients","Phone: 714-477-8038
Location: 16300 Sand Canyon Ave, Irvine, CA 92618
Hours: Closed Now; see hours"
Home Visitation,MOMS Orange County,"- In-home visits for new/expecting parents
- Parenting education, baby supplies
- Prenatal & postpartum guidance","- Adults, teens
- Pregnant
- Families w/ children
- Low-income, mothers","Phone: 714-972-2610
Location: 1128 W Santa Ana Blvd, Santa Ana, CA 92703
Hours: Closed Now; see hours"
Child Health & Disability Prevention (CHDP),Families Together of Orange County,"- Administers CHDP for children/youth 0-19
- Medical/dental checkups, hearing tests, immunizations, nutrition advice","- Children & teens
- Families
- Low-income, uninsured","Phone: 800-597-7977
Location: 661 W First St, Tustin, CA 92780
Hours: Closed Now; see hours"
Padres en Acción / Parents in Action,Kid Healthy,"- Engages parents as volunteers & advocates
- Teaches healthy habits, physical activities
- Workshops on nutrition","- Adults, seniors
- Families w/ children
- Caregivers, parents","Phone: 949-302-7920
Email**: renee@mykidhealthy.org
Serves local area
Hours vary"
MOVE! Weight Management Program,US Department of Veterans Affairs (VA) - VHA,"- Weight management, health promotion
- Nutrition/fitness for veterans
- Screen & track BMI, etc.","- Adults 18+
- Active duty & veterans
- Chronic illness","Phone: (local): 714-776-0161 
Website: MOVE! 
Hours vary"
Community-Based Adult Services (CBAS),California Department of Aging,"- Day health program for elderly/disabled adults
- Meals, nutrition education, skilled nursing, PT/OT, mental health care","- Adults/seniors w/ chronic conditions or disabilities
- Low-income, Medi-Cal recipients","Phone: 800-510-2020
Website: CDOA CBAS 
Serves statewide; hours vary"
"Women, Infants and Children (WIC)",Camino Health Center,"- Federally-funded health & nutrition program
- Issuing checks for healthy foods, plus education
- Parenting support","- All ages (focus on pregnant moms, infants, children)
- Low-income","Phone: 949-488-7688
Location: 22481 Aspan St, Lake Forest, CA 92630
Hours: Closed Now; see hours"
"Women, Infants & Children (WIC)",Orange County Health Care Agency (OCHCA),"- Healthy food habits, pregnant/postpartum/breastfeeding women
- Babies & children 0–5
- Provides formula, baby supplies, nutrition education","- All ages (focus on mothers/infants)
- Low-income
- Families","Phone: 888-968-7942
Location: 18672 E Center Ave, Orange, CA 92869
Hours: Closed Now; see hours"
Health & Wellness,Age Well Senior Services,"- Active aging programs
- Preventive classes, exercise, nutrition
- Social & fun activities for seniors",- Seniors,"Website: Age Well Senior Services
Location: 23721 Moulton Pkwy, Laguna Hills, CA 92653
Hours vary"
CalWORKs Home Visiting Program (HVP),ABRAZAR,"- Evidence-based, voluntary home visits
- Guidance & coaching for new parents, child development
- Possibly help w/ job training, goal setting","- Unemployed
- Pregnant
- Low-income families
- Single parents, domestic violence survivors","Phone: 714-479-8312
Serves local area
Hours vary"
Senior Services,Benevolence Health Centers (BHC),"- Range of medical, educational & fitness for underserved seniors
- Health screenings, nutrition & exercise classes","- Seniors
- Low-income, uninsured/underinsured","Phone: 323-732-0100
Email**: info@bhchealth.org
Location: (multiple addresses in LA area; text references 805 W La Veta Ave, Orange, CA)"
Viva La Salud,Northgate Market,"- Cause-related marketing program on health & wellness
- Chronic disease prevention in Latino communities
- Cooking demos, nutrition education","- Adults, families
- Chronic disease risk
- Local grocery store communities","Phone: 714-507-7418
Website: Northgate Market
Serves local area; hours vary"
Residential Program,Mercy Multiplied,"- Faith-based, free-of-charge residential care for women 13–32
- Addresses life-controlling issues: addictions, eating disorders, etc.
- Counseling, skill-building, spiritual support","- Young women (13–32)
- Trauma survivors, domestic violence survivors, etc.","Phone: 615-831-6987
Website: Mercy Multiplied
Serves your state"
Lactation Consulting & Support,Simplifed,"- Free baby feeding classes (pregnancy, postpartum, pumping)
- Partner-focused classes
- Virtual support for new parents","- Adults, teens
- Pregnant or postpartum
- Families with children","Website: Simplifed Lactation 
Serves nationwide; Open 6AM–6PM PDT (from text)"
Living with Type 2 Diabetes Program,American Diabetes Association (ADA),"- Free program for newly diagnosed type 2 diabetics
- Info on diabetes mgmt, resources
- Email series, local/national support","- All ages
- Recently diagnosed type 2 diabetes","Phone: 800-342-2383
Website: ADA Program 
Serves nationwide; hours vary"
Health & Wellness Cooking Classes,Five Loaves & Two Fish Healthy Teaching Kitchen,"- Low-cost cooking classes
- Interactive environment for nutrition, recipes, cooking demos
- Healthy-living tips for families","- Teens, children, adults
- Families
- Low-income or general public","Email: mail@52htk.com
Phone: 689-248-0222
Serves nationwide; hours vary"
Ask the Experts,American Diabetes Association (ADA),"- Live Q&A calls/webinars for people w/ diabetes
- Experts covering common health & lifestyle issues
- Opportunity for community support","- All ages
- Chronic illness (diabetes)","Website: ADA “Ask the Experts” 
Or text ""experts"" to 833-898-5483
Serves nationwide"
One-On-One Nutrition Consultations,Leukemia and Lymphoma Society (LLS),"- Free phone consults for patients & caregivers (ANY cancer)
- Nutrition guidance from oncology dietitians","- All ages
- Cancer (all types) patients & caregivers","Phone: 877-467-1936
Website: LLS Nutrition Services 
Serves nationwide; 6AM–6PM PDT (approx)"
Garden Gateway,Community Services Unlimited (CSU),"- Free gardening & nutrition workshops
- Grow food using natural, sustainable methods
- Encourages local community building","- Anyone in need
- Adults, teens, seniors","Email: ggw@csuinc.org
Website: CSU Inc
Location: 6569 S Vermont Ave, Los Angeles, CA 90044
Hours: Closed Today"
Kidney Smart,DaVita Kidney Care,"- Educational classes about kidney function, failure
- Nutrition info, treat & prevent kidney disease
- Navigating dialysis options","- All ages
- Chronic illness (kidney)
- Individuals & families","Website: DaVita Kidney Smart 
Serves your state; hours vary"
Health & Wellness Education,St. Francois County Health Center (SFCHC) (text says “San Fernando”),"- On-site cooking classes
- Sexual health info, nutrition advice
(Details mention “San Fernando” area in text, so possibly mislabeled)","- All ages
- Possibly those with diabetes or general community","Phone: 818-963-5690 (given in text)
Location: “732 Mott St, San Fernando, CA 91340” (from text) 
Hours vary"
Health & Life Skills,Boys & Girls Club of the Foothills (BGCF),"- Programs promoting development & healthy lifestyles
- Activities that enhance social, physical, & emotional well-being","- Teens, children
- Low-income youth","Phone: 626-305-5353
Location: 843 E Olive Ave, Monrovia, CA 91016
Hours: Closed Now"
50+ Health Connection,Huntington Health (Huntington Hospital Senior Care Network),"- Free membership for seniors
- Health topics, resources, & discounts
- Keep updated on wellness issues",- Seniors (50+),"Phone: 800-664-4664
Website: Huntington Health 50+ 
Serves local area; hours vary"
Wellness Kits for Cancer Survivors,Luminaries,"- Six free wellness kits delivered every 2 months
- For financially challenged, racially diverse, or rural survivors
- Each kit addresses mental, emotional, & physical well-being","- All ages
- Cancer survivors (any type)
- Low-income, diverse backgrounds","Website: (not provided in text, “Luminaries” mentioned)
Email**: brockhendricks@luminaries.life
Serves nationwide"
KidneyCare:365,Fresenius Kidney Care,"- Education about kidney health & disease
- Virtual classes, helpful for early or advanced kidney disease
- Guidance on dialysis & nutrition","- Anyone in need
- All ages
- Chronic illness (kidney)","Website: Fresenius KidneyCare365 
Serves your state; hours vary"
Reality Eating,Fighting For Fitness Inc,"- Balance of nutrition, taste, & simplicity
- Encourages families to eat healthier
- Aims to reduce childhood obesity","- Children
- Families
- Local area (text references “Irvine?”)","Email: info@fightingforfitness.org
Phone: 949-836-2672
Location: 15 Georgetown, Irvine, CA 92612
Hours: Closed Now"
Health Care Access Services,Families & Communities Together (FaCT),"- Health access program for families w/ kids 0-5
- Help applying to Medi-Cal, Healthy Families
- Possibly includes nutrition & health education",- Families w/ children (0-5),"Phone: 949-364-0500
Location: 23832 Rockfield Blvd, Lake Forest, CA 92630
Hours: Closed Now"
Program of All-Inclusive Care for the Elderly (PACE),AltaMed Health Services,"- Combines Medicare/Medicaid benefits for seniors
- Meals, nutrition ed, therapies, med management
- In-home support, transportation","- Seniors
- All disabilities
- Caregivers
- Low-income, Medi-Cal","Phone: 855-252-7223
Location: 3601 W Sunflower Ave, Santa Ana, CA 92704
Hours: Closed Now; see hours"
Survivor Empowerment & Education,Cancer Kinship,"- Workshops & action-planning for post-cancer
- Nutrition, financial, career, & mental health support
- Mentoring & community building","- Adults 18+
- Cancer (all types)","Phone: 714-592-1625
Email**: info@cancerkinship.org
Location: 1765 S Douglass Rd, Anaheim, CA 92806
Hours: Closed Now"
